Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Scope,Value,Unit,Source_Type,Source_Reference,Required,Expected_Unit
R0034,BluePeak Retail,Retail,France,2025.0,Workforce / ESG,Workforce Training Hours,N/A,10.6,hours,Internal ESG System,SRC-2025-06,True,hours
R0035,Crescent Finance,Financial Services,Singapore,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,50.3,%,Internal ESG System,SRC-2024-10,True,%
R0036,Crescent Finance,Financial Services,Singapore,2024.0,Workforce / ESG,Employee Turnover,N/A,20.3,%,Internal ESG System,SRC-2024-10,True,%
R0037,Crescent Finance,Financial Services,Singapore,2024.0,Energy,Energy Consumption,N/A,571395.2,kWh,Internal ESG System,SRC-2024-10,True,MWh
R0038,Crescent Finance,Financial Services,Singapore,2024.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2024-10,True,Yes/No
R0039,Crescent Finance,Financial Services,Singapore,2024.0,Energy,Renewable Energy Consumption,N/A,174486.0,MWh,Internal ESG System,SRC-2024-10,True,MWh
R0040,Crescent Finance,Financial Services,Singapore,2024.0,Climate,Scope 1 Emissions,Emissions,8747.3,tCO2e,Internal ESG System,SRC-2024-10,True,tCO2e
R0041,Crescent Finance,Financial Services,Singapore,2024.0,Waste,Waste Generated,N/A,6705.5,tonnes,Internal ESG System,SRC-2024-10,True,tonnes
R0042,Crescent Finance,Financial Services,Singapore,2024.0,Water,Water Consumption,N/A,1377.5,ML,Internal ESG System,SRC-2024-10,True,ML
R0043,Crescent Finance,Financial Services,Singapore,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,54.3,%,Internal ESG System,SRC-2025-10,True,%
R0044,Crescent Finance,Financial Services,Singapore,2025.0,Workforce / ESG,Employee Turnover,N/A,15.1,%,Internal ESG System,SRC-2025-10,True,%
R0045,Crescent Finance,Financial Services,Singapore,2025.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2025-10,True,Yes/No
R0046,Crescent Finance,Financial Services,Singapore,2025.0,Energy,Renewable Energy Consumption,N/A,218220.8,MWh,Internal ESG System,SRC-2025-10,True,MWh
R0047,Crescent Finance,Financial Services,Singapore,2025.0,Climate,Scope 1 Emissions,Emissions,30953.6,tCO2e,Internal ESG System,SRC-2025-10,True,tCO2e
R0048,Crescent Finance,Financial Services,Singapore,2025.0,Climate,Scope 2 Emissions,Emissions,9651.7,tCO2e,Internal ESG System,SRC-2025-10,True,tCO2e
R0049,Crescent Finance,Financial Services,Singapore,2025.0,Waste,Waste Generated,N/A,8614.2,tonnes,Internal ESG System,SRC-2025-10,True,tonnes
R0050,Crescent Finance,Financial Services,Singapore,2025.0,Waste,Waste Recycled,N/A,7723.9,GJ,Internal ESG System,SRC-2025-10,True,tonnes
R0051,Crescent Finance,Financial Services,Singapore,2025.0,Water,Water Consumption,N/A,926.1,ML,Internal ESG System,SRC-2025-10,True,ML
R0052,Crescent Finance,Financial Services,Singapore,2025.0,Workforce / ESG,Workforce Training Hours,N/A,14.2,hours,Internal ESG System,SRC-2025-10,True,hours
R0053,Everline Consumer Goods,Retail,Netherlands,2024.0,Energy,Energy Consumption,N/A,425655.8,MWh,Internal ESG System,SRC-2024-12,True,MWh
R0054,Everline Consumer Goods,Retail,Netherlands,2024.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2024-12,True,Yes/No
R0055,Everline Consumer Goods,Retail,Netherlands,2024.0,Energy,Renewable Energy Consumption,N/A,221903.6,MWh,Internal ESG System,SRC-2024-12,True,MWh
R0056,Everline Consumer Goods,Retail,Netherlands,2024.0,Climate,Scope 2 Emissions,Emissions,11188.8,tCO2e,Internal ESG System,SRC-2024-12,True,tCO2e
R0057,Everline Consumer Goods,Retail,Netherlands,,Waste,Waste Generated,N/A,7336.2,tonnes,Internal ESG System,SRC-2024-12,True,tonnes
R0058,Everline Consumer Goods,Retail,Netherlands,2024.0,Waste,Waste Recycled,N/A,13528.8,tonnes,Internal ESG System,SRC-2024-12,True,tonnes
R0059,Everline Consumer Goods,Retail,Netherlands,2024.0,Water,Water Consumption,N/A,,ML,Internal ESG System,SRC-2024-12,True,ML
R0060,Everline Consumer Goods,Retail,Netherlands,2024.0,Workforce / ESG,Workforce Training Hours,N/A,15.4,hours,Internal ESG System,SRC-2024-12,True,hours
R0061,Everline Consumer Goods,Retail,Netherlands,2025.0,Energy,Energy Consumption,N/A,229161.8,MWh,Internal ESG System,SRC-2025-12,True,MWh
R0062,Everline Consumer Goods,Retail,Netherlands,2025.0,Energy,Renewable Energy Consumption,N/A,220634.4,MWh,Internal ESG System,SRC-2025-12,True,MWh
R0063,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 1 Emissions,Emissions,20485.9,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e
R0064,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 2 Emissions,Emissions,23341.0,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e
R0065,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 3 Emissions,Emissions,181986.5,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e
R0066,Everline Consumer Goods,Retail,Netherlands,2025.0,Waste,Waste Generated,N/A,6894.9,tonnes,Internal ESG System,SRC-2025-12,True,tonnes
R0067,Everline Consumer Goods,Retail,Netherlands,2025.0,Waste,Waste Recycled,N/A,5996.3,tonnes,Internal ESG System,SRC-2025-12,True,tonnes
R0068,Everline Consumer Goods,Retail,Netherlands,2025.0,Water,Water Consumption,N/A,1263.4,ML,Internal ESG System,SRC-2025-12,True,ML
R0069,GreenGrid Energy,Energy,Germany,2024.0,Workforce / ESG,Employee Turnover,,15.8,%,Internal ESG System,SRC-2024-03,True,%
R0070,GreenGrid Energy,Energy,Germany,2024.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2024-03,True,Yes/No
R0071,GreenGrid Energy,Energy,Germany,2024.0,Energy,Renewable Energy Consumption,N/A,118253.3,MWh,Internal ESG System,SRC-2024-03,True,MWh
R0072,GreenGrid Energy,Energy,Germany,2024.0,Climate,Scope 1 Emissions,Emissions,13786.1,tCO2e,Internal ESG System,SRC-2024-03,True,tCO2e
R0073,GreenGrid Energy,Energy,Germany,2024.0,Climate,Scope 3 Emissions,Emissions,75916.7,tCO2e,Internal ESG System,SRC-2024-03,True,tCO2e
R0074,GreenGrid Energy,Energy,Germany,2024.0,Waste,Waste Generated,N/A,7653.9,tonnes,Internal ESG System,SRC-2024-03,True,tonnes
R0075,GreenGrid Energy,Energy,Germany,2024.0,Waste,Waste Recycled,N/A,6714.4,tonnes,Internal ESG System,SRC-2024-03,True,tonnes
R0076,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,-54.9,%,Internal ESG System,SRC-2025-03,True,%
R0077,GreenGrid Energy,Energy,Germany,2025.0,Workforce / ESG,Employee Turnover,N/A,17.3,%,Internal ESG System,SRC-2025-03,True,%
R0078,GreenGrid Energy,Energy,Germany,2025.0,Energy,Energy Consumption,N/A,676153.0,MWh,Internal ESG System,SRC-2025-03,True,MWh
R0079,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2025-03,True,Yes/No
R0080,GreenGrid Energy,Energy,Germany,2025.0,Climate,Scope 2 Emissions,Emissions,24289.4,tCO2e,Internal ESG System,SRC-2025-03,True,tCO2e
R0081,GreenGrid Energy,Energy,Germany,2025.0,Climate,Scope 3 Emissions,Emissions,131054.0,tCO2e,Internal ESG System,SRC-2025-03,True,tCO2e
R0082,GreenGrid Energy,Energy,Germany,2025.0,Waste,Waste Generated,N/A,6331.7,tonnes,Internal ESG System,SRC-2025-03,True,tonnes
R0083,GreenGrid Energy,Energy,Germany,2025.0,Waste,Waste Recycled,N/A,9477.9,tonnes,Internal ESG System,SRC-2025-03,True,tonnes
R0084,GreenGrid Energy,Energy,Germany,2025.0,Workforce / ESG,Workforce Training Hours,N/A,37.7,hours,Internal ESG System,SRC-2025-03,True,hours
R0085,Northstar Foods,Retail,United Kingdom,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,48.3,%,Internal ESG System,,True,%
R0086,Northstar Foods,Retail,United Kingdom,2024.0,Workforce / ESG,Employee Turnover,N/A,10.4,%,Internal ESG System,SRC-2024-02,True,%
R0087,Northstar Foods,Retail,United Kingdom,2024.0,Energy,Energy Consumption,N/A,262549.1,MWh,Internal ESG System,SRC-2024-02,True,MWh
R0088,Northstar Foods,Retail,United Kingdom,2024.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2024-02,True,Yes/No
R0089,Northstar Foods,Retail,United Kingdom,2024.0,Energy,Renewable Energy Consumption,N/A,352722.1,MWh,Internal ESG System,SRC-2024-02,True,MWh
R0090,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 1 Emissions,Emissions,25771.9,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e
R0091,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 2 Emissions,Emissions,29227.9,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e
R0092,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 3 Emissions,Emissions,,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e
R0093,Northstar Foods,Retail,United Kingdom,2024.0,Waste,Waste Generated,N/A,14290.4,tonnes,Internal ESG System,SRC-2024-02,True,tonnes
R0094,Northstar Foods,Retail,United Kingdom,2024.0,Water,Water Consumption,N/A,2343.4,ML,Internal ESG System,SRC-2024-02,True,ML
R0095,Northstar Foods,Retail,United Kingdom,2024.0,Workforce / ESG,Workforce Training Hours,N/A,52.4,hours,Internal ESG System,SRC-2024-02,True,hours
R0096,Northstar Foods,Retail,United Kingdom,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,21.4,%,Internal ESG System,SRC-2025-02,True,%
R0097,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Employee Turnover,N/A,12.5,%,Internal ESG System,SRC-2025-02,True,%
R0098,Northstar Foods,Retail,United Kingdom,2025.0,Energy,Energy Consumption,N/A,463797.9,MWh,Internal ESG System,SRC-2025-02,True,MWh
R0099,Northstar Foods,Retail,United Kingdom,2025.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2025-02,True,Yes/No
R0100,Northstar Foods,Retail,United Kingdom,2025.0,Energy,Renewable Energy Consumption,N/A,221075.8,MWh,Internal ESG System,SRC-2025-02,True,MWh
R0101,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 1 Emissions,Emissions,16529.1,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e
R0102,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 2 Emissions,Emissions,23456.2,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e
R0103,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 3 Emissions,Emissions,74258.0,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e
R0104,Northstar Foods,Retail,United Kingdom,2025.0,Waste,Waste Generated,N/A,12415.2,GJ,Internal ESG System,SRC-2025-02,True,tonnes
R0105,Northstar Foods,Retail,United Kingdom,2025.0,Waste,Waste Recycled,N/A,8769.0,tonnes,Internal ESG System,SRC-2025-02,True,tonnes
R0106,Northstar Foods,Retail,United Kingdom,2025.0,Water,Water Consumption,N/A,1457.3,ML,Internal ESG System,SRC-2025-02,True,ML
R0107,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Workforce Training Hours,N/A,26.8,hours,Internal ESG System,SRC-2025-02,True,hours
R0108,Nova Healthcare,Healthcare,Canada,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,67.7,%,Internal ESG System,SRC-2024-08,True,%
R0109,Nova Healthcare,Healthcare,Canada,2024.0,Workforce / ESG,Employee Turnover,N/A,18.1,%,Internal ESG System,SRC-2024-08,True,%
R0110,Nova Healthcare,Healthcare,Canada,2024.0,Energy,Energy Consumption,N/A,206547.4,MWh,Internal ESG System,SRC-2024-08,True,MWh
R0111,Nova Healthcare,Healthcare,Canada,2024.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2024-08,True,Yes/No
R0112,Nova Healthcare,Healthcare,Canada,2024.0,Climate,Scope 1 Emissions,Emissions,42348.7,tCO2e,Internal ESG System,SRC-2024-08,True,tCO2e
R0113,Nova Healthcare,Healthcare,Canada,2024.0,Climate,Scope 2 Emissions,Emissions,49915.6,tCO2e,Internal ESG System,SRC-2024-08,True,tCO2e
R0114,Nova Healthcare,Healthcare,Canada,2024.0,Climate,Scope 3 Emissions,Emissions,44362.4,tCO2e,Internal ESG System,SRC-2024-08,True,tCO2e
R0115,Nova Healthcare,Healthcare,Canada,2024.0,Waste,Waste Generated,N/A,7456.2,tonnes,Internal ESG System,SRC-2024-08,True,tonnes
R0116,Nova Healthcare,Healthcare,Canada,2024.0,Waste,Waste Recycled,N/A,8548.4,tonnes,Internal ESG System,SRC-2024-08,True,tonnes
R0117,Nova Healthcare,Healthcare,Canada,2024.0,Workforce / ESG,Workforce Training Hours,N/A,49.6,hours,Internal ESG System,SRC-2024-08,True,hours
R0118,Nova Healthcare,Healthcare,Canada,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,73.9,%,Internal ESG System,SRC-2025-08,True,%
R0119,Nova Healthcare,Healthcare,Canada,2025.0,Workforce / ESG,Employee Turnover,N/A,23.2,%,Internal ESG System,SRC-2025-08,True,%
R0120,Nova Healthcare,Healthcare,Canada,2025.0,Energy,Energy Consumption,N/A,6147511.199999999,MWh,Internal ESG System,SRC-2025-08,True,MWh
R0121,Nova Healthcare,Healthcare,Canada,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-08,True,Yes/No
R0122,Nova Healthcare,Healthcare,Canada,2025.0,Energy,Renewable Energy Consumption,N/A,259602.2,MWh,Internal ESG System,SRC-2025-08,True,MWh
R0123,Nova Healthcare,Healthcare,Canada,2025.0,Climate,Scope 2 Emissions,Emissions,28701.5,tCO2e,Internal ESG System,SRC-2025-08,True,tCO2e
R0124,Nova Healthcare,Healthcare,Canada,2025.0,Climate,Scope 3 Emissions,Emissions,174860.2,tCO2e,Internal ESG System,SRC-2025-08,True,tCO2e
R0125,Nova Healthcare,Healthcare,Canada,2025.0,Waste,Waste Generated,N/A,11883.0,tonnes,Internal ESG System,SRC-2025-08,True,tonnes
R0126,Nova Healthcare,Healthcare,Canada,2025.0,Waste,Waste Recycled,N/A,4036.8,tonnes,Internal ESG System,SRC-2025-08,True,tonnes
R0127,Nova Healthcare,Healthcare,Canada,2025.0,Water,Water Consumption,,1684.4,ML,Internal ESG System,SRC-2025-08,True,ML
R0128,Nova Healthcare,Healthcare,Canada,2025.0,Workforce / ESG,Workforce Training Hours,N/A,56.7,hours,Internal ESG System,SRC-2025-08,True,hours
R0129,Orion Telecom,Telecommunications,South Korea,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,22.2,%,Internal ESG System,SRC-2024-11,True,%
R0130,Orion Telecom,Telecommunications,South Korea,2024.0,Workforce / ESG,Employee Turnover,N/A,24.7,%,Internal ESG System,SRC-2024-11,True,%
R0131,Orion Telecom,Telecommunications,South Korea,2024.0,Energy,Energy Consumption,N/A,240547.4,MWh,Internal ESG System,SRC-2024-11,True,MWh
R0132,Orion Telecom,Telecommunications,South Korea,2024.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2024-11,True,Yes/No
R0133,Orion Telecom,Telecommunications,South Korea,2024.0,Energy,Renewable Energy Consumption,N/A,70818.1,MWh,Internal ESG System,SRC-2024-11,True,MWh
R0134,Orion Telecom,Telecommunications,South Korea,2024.0,Climate,Scope 2 Emissions,Emissions,15036.7,tCO2e,Internal ESG System,SRC-2024-11,True,tCO2e
R0135,Orion Telecom,Telecommunications,South Korea,2024.0,Climate,Scope 3 Emissions,Emissions,,tCO2e,Internal ESG System,SRC-2024-11,True,tCO2e
R0136,Orion Telecom,Telecommunications,South Korea,2024.0,Waste,Waste Generated,N/A,8326.1,tonnes,Internal ESG System,SRC-2024-11,True,tonnes
R0137,Orion Telecom,Telecommunications,South Korea,2024.0,Waste,Waste Recycled,N/A,7065.3,tonnes,Internal ESG System,SRC-2024-11,True,tonnes
R0138,Orion Telecom,Telecommunications,South Korea,2024.0,Workforce / ESG,Workforce Training Hours,N/A,30.4,hours,Internal ESG System,SRC-2024-11,True,hours
R0139,Orion Telecom,Telecommunications,South Korea,2025.0,Workforce / ESG,Employee Turnover,N/A,5.4,%,Internal ESG System,SRC-2025-11,True,%
R0140,Orion Telecom,Telecommunications,South Korea,2025.0,Energy,Energy Consumption,N/A,324164.1,MWh,Internal ESG System,SRC-2025-11,True,MWh
R0141,Orion Telecom,Telecommunications,South Korea,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-11,True,Yes/No
R0142,Orion Telecom,Telecommunications,South Korea,2025.0,Climate,Scope 1 Emissions,Emissions,80465.5,tCO2e,Internal ESG System,SRC-2025-11,True,tCO2e
R0143,Orion Telecom,Telecommunications,South Korea,2025.0,Climate,Scope 3 Emissions,Emissions,116881.4,tCO2e,Internal ESG System,SRC-2025-11,True,tCO2e
R0144,Orion Telecom,Telecommunications,South Korea,2025.0,Waste,Waste Generated,N/A,12266.5,tonnes,Internal ESG System,SRC-2025-11,True,tonnes
R0145,Orion Telecom,Telecommunications,South Korea,2025.0,Waste,Waste Recycled,N/A,9902.6,tonnes,Internal ESG System,SRC-2025-11,True,tonnes
R0146,Orion Telecom,Telecommunications,South Korea,2025.0,Water,Water Consumption,N/A,2122.8,ML,Internal ESG System,SRC-2025-11,True,ML
R0147,Orion Telecom,Telecommunications,South Korea,2025.0,Workforce / ESG,Workforce Training Hours,N/A,52.5,hours,Internal ESG System,SRC-2025-11,True,hours
R0148,Summit Chemicals,Chemicals,United States,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,68.1,%,Internal ESG System,SRC-2024-07,True,%
R0149,Summit Chemicals,Chemicals,United States,2024.0,Workforce / ESG,Employee Turnover,N/A,21.0,%,Internal ESG System,SRC-2024-07,True,%
R0150,Summit Chemicals,Chemicals,United States,2024.0,Energy,Energy Consumption,N/A,159631.7,MWh,Internal ESG System,SRC-2024-07,True,MWh
R0151,Summit Chemicals,Chemicals,United States,2024.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2024-07,True,Yes/No
R0152,Summit Chemicals,Chemicals,United States,2024.0,Energy,Renewable Energy Consumption,N/A,220841.7,MWh,Internal ESG System,,True,MWh
R0153,Summit Chemicals,Chemicals,United States,2024.0,Climate,Scope 1 Emissions,Emissions,28117.6,tCO2e,Internal ESG System,SRC-2024-07,True,tCO2e
R0154,Summit Chemicals,Chemicals,United States,2024.0,Climate,Scope 2 Emissions,Emissions,37602.0,tCO2e,Internal ESG System,SRC-2024-07,True,tCO2e
R0155,Summit Chemicals,Chemicals,United States,2024.0,Waste,Waste Generated,N/A,10710.6,tonnes,Internal ESG System,SRC-2024-07,True,tonnes
R0156,Summit Chemicals,Chemicals,United States,,Waste,Waste Recycled,N/A,2047.9,tonnes,Internal ESG System,SRC-2024-07,True,tonnes
R0157,Summit Chemicals,Chemicals,United States,2024.0,Water,Water Consumption,N/A,1718.1,ML,Internal ESG System,SRC-2024-07,True,ML
R0158,Summit Chemicals,Chemicals,United States,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,48.9,%,Internal ESG System,SRC-2025-07,True,%
R0159,Summit Chemicals,Chemicals,United States,2025.0,Energy,Energy Consumption,N/A,217920.2,MWh,Internal ESG System,SRC-2025-07,True,MWh
R0160,Summit Chemicals,Chemicals,United States,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-07,True,Yes/No
R0161,Summit Chemicals,Chemicals,United States,2025.0,Energy,Renewable Energy Consumption,N/A,323104.9,MWh,Internal ESG System,SRC-2025-07,True,MWh
R0162,Summit Chemicals,Chemicals,United States,2025.0,Climate,Scope 1 Emissions,Emissions,28976.2,tCO2e,Internal ESG System,SRC-2025-07,True,tCO2e
R0163,Summit Chemicals,Chemicals,United States,2025.0,Climate,Scope 3 Emissions,Emissions,77631.5,kgCO2e,Internal ESG System,SRC-2025-07,True,tCO2e
R0164,Summit Chemicals,Chemicals,United States,2025.0,Waste,Waste Generated,N/A,8750.7,tonnes,Internal ESG System,SRC-2025-07,True,tonnes
R0165,Summit Chemicals,Chemicals,United States,2025.0,Waste,Waste Recycled,N/A,4749.1,tonnes,Internal ESG System,SRC-2025-07,True,tonnes
R0166,Summit Chemicals,Chemicals,United States,2025.0,Water,Water Consumption,N/A,2193.1,ML,Internal ESG System,SRC-2025-07,True,ML
R0167,Summit Chemicals,Chemicals,United States,2025.0,Workforce / ESG,Workforce Training Hours,N/A,52.8,hours,Internal ESG System,SRC-2025-07,True,hours
R0168,TerraBuild Materials,Construction,Australia,2024.0,Workforce / ESG,Employee Turnover,N/A,24.5,%,Internal ESG System,SRC-2024-09,True,%
R0169,TerraBuild Materials,Construction,Australia,2024.0,Energy,Renewable Energy Consumption,N/A,73066.6,MWh,Internal ESG System,SRC-2024-09,True,MWh
R0170,TerraBuild Materials,Construction,Australia,2024.0,Climate,Scope 1 Emissions,Emissions,36556.1,tCO2e,Internal ESG System,SRC-2024-09,True,tCO2e
R0171,TerraBuild Materials,Construction,Australia,2024.0,Waste,Waste Generated,N/A,4864.7,tonnes,Internal ESG System,SRC-2024-09,True,tonnes
R0172,TerraBuild Materials,Construction,Australia,2024.0,Waste,Waste Recycled,N/A,95064.0,tonnes,Internal ESG System,SRC-2024-09,True,tonnes
R0173,TerraBuild Materials,Construction,Australia,2024.0,Water,Water Consumption,N/A,875.3,ML,Internal ESG System,SRC-2024-09,True,ML
R0174,TerraBuild Materials,Construction,Australia,2024.0,Workforce / ESG,Workforce Training Hours,N/A,59.8,hours,Internal ESG System,SRC-2024-09,True,hours
R0175,TerraBuild Materials,Construction,Australia,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,28.6,%,Internal ESG System,SRC-2025-09,True,%
R0176,TerraBuild Materials,Construction,Australia,2025.0,Energy,Energy Consumption,N/A,492745.6,MWh,Internal ESG System,SRC-2025-09,True,MWh
