Exception_ID,Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Source_Type,Rule_ID,Exception_Type,Severity,Severity_Rank,Original_Value,Original_Unit,Description,Recommended_Action,Remediation_Status,Exception_Count
E0024,R0120,Nova Healthcare,Healthcare,Canada,2025.0,Energy,Energy Consumption,Internal ESG System,DQ008,Outlier,Medium,2,6147511.199999999,MWh,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0025,R0135,Orion Telecom,Telecommunications,South Korea,2024.0,Climate,Scope 3 Emissions,Internal ESG System,DQ001,Missing Value,High,3,,tCO2e,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0026,R0142,Orion Telecom,Telecommunications,South Korea,2025.0,Climate,Scope 1 Emissions,Internal ESG System,DQ008,Outlier,Medium,2,80465.5,tCO2e,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0027,R0152,Summit Chemicals,Chemicals,United States,2024.0,Energy,Renewable Energy Consumption,Internal ESG System,DQ009,Missing Source,Low,1,220841.7,MWh,Missing Source detected by deterministic validation.,Attach the missing source reference.,Open,1
E0028,R0156,Summit Chemicals,Chemicals,United States,,Waste,Waste Recycled,Internal ESG System,DQ005,Missing Reporting Year,High,3,2047.9,tonnes,Missing Reporting Year detected by deterministic validation.,Confirm and populate the reporting period.,Open,1
E0029,R0163,Summit Chemicals,Chemicals,United States,2025.0,Climate,Scope 3 Emissions,Internal ESG System,DQ003,Invalid Unit,Medium,2,77631.5,kgCO2e,Invalid Unit detected by deterministic validation.,Standardize to the controlled metric unit.,Open,1
E0030,R0172,TerraBuild Materials,Construction,Australia,2024.0,Waste,Waste Recycled,Internal ESG System,DQ008,Outlier,Medium,2,95064.0,tonnes,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0031,R0178,TerraBuild Materials,Construction,Australia,2025.0,Energy,Renewable Energy Consumption,Internal ESG System,DQ001,Missing Value,High,3,,MWh,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0032,R0189,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 2 Emissions,Internal ESG System,DQ002,Duplicate Record,Medium,2,18515.5,tCO2e,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
E0033,R0202,UrbanCore Logistics,Logistics,United States,2025.0,Water,Water Consumption,Internal ESG System,DQ008,Outlier,Medium,2,5588.2,ML,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0034,R0206,Vertex Electronics,Technology,Japan,2024.0,Energy,Energy Consumption,Internal ESG System,DQ009,Missing Source,Low,1,375630.1,MWh,Missing Source detected by deterministic validation.,Attach the missing source reference.,Open,1
E0035,DUP001,Apex Manufacturing,Manufacturing,India,2024.0,Waste,Waste Recycled,Internal ESG System,DQ002,Duplicate Record,Medium,2,6355.6,tonnes,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
E0036,DUP002,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Employee Turnover,Internal ESG System,DQ002,Duplicate Record,Medium,2,12.5,%,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
E0037,DUP003,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 2 Emissions,Internal ESG System,DQ002,Duplicate Record,Medium,2,18515.5,tCO2e,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
