Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Scope,Value,Unit,Source_Type,Source_Reference,Required,Expected_Unit,ESG_Category_Reference,Required_Flag,Unique_Record_Key,Duplicate_Flag,Missing_Value_Flag,Invalid_Unit_Flag,Negative_Emissions_Flag,Missing_Scope_Flag,Missing_Year_Flag,Missing_Source_Flag,Outlier_Flag,Exception_Count,Validation_Status,Severity
R0011,Apex Manufacturing,Manufacturing,India,2024.0,Workforce / ESG,Workforce Training Hours,,54.4,hours,Internal ESG System,SRC-2024-01,True,hours,Workforce / ESG,True,Apex Manufacturing|2024.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0012,Apex Manufacturing,Manufacturing,India,2025.0,Workforce / ESG,Employee Turnover,,12.2,GJ,Internal ESG System,SRC-2025-01,True,%,Workforce / ESG,True,Apex Manufacturing|2025.0|Employee Turnover,False,False,True,False,False,False,False,False,1,Exception,Medium
R0013,Apex Manufacturing,Manufacturing,India,2025.0,Energy,Energy Consumption,,291501.9,MWh,Internal ESG System,SRC-2025-01,True,MWh,Energy,True,Apex Manufacturing|2025.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0014,Apex Manufacturing,Manufacturing,India,2025.0,Climate Strategy,Net Zero Target,,Yes,Yes/No,Internal ESG System,SRC-2025-01,True,Yes/No,Climate Strategy,True,Apex Manufacturing|2025.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0015,Apex Manufacturing,Manufacturing,India,2025.0,Energy,Renewable Energy Consumption,,124805.8,MWh,Internal ESG System,SRC-2025-01,True,MWh,Energy,True,Apex Manufacturing|2025.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0016,Apex Manufacturing,Manufacturing,India,2025.0,Climate,Scope 1 Emissions,Emissions,21336.4,tCO2e,Internal ESG System,SRC-2025-01,True,tCO2e,Climate,True,Apex Manufacturing|2025.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0017,Apex Manufacturing,Manufacturing,India,2025.0,Water,Water Consumption,,2412.2,ML,Internal ESG System,SRC-2025-01,True,ML,Water,True,Apex Manufacturing|2025.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0018,Apex Manufacturing,Manufacturing,India,2025.0,Workforce / ESG,Workforce Training Hours,,15.3,hours,Internal ESG System,SRC-2025-01,True,hours,Workforce / ESG,True,Apex Manufacturing|2025.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0019,BluePeak Retail,Retail,France,2024.0,Climate Strategy,Emissions Reduction Target,,34.9,%,Internal ESG System,SRC-2024-06,True,%,Climate Strategy,True,BluePeak Retail|2024.0|Emissions Reduction Target,False,False,False,False,True,False,False,False,1,Exception,High
R0020,BluePeak Retail,Retail,France,2024.0,Workforce / ESG,Employee Turnover,,12.8,%,Internal ESG System,SRC-2024-06,True,%,Workforce / ESG,True,BluePeak Retail|2024.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0021,BluePeak Retail,Retail,France,2024.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2024-06,True,Yes/No,Climate Strategy,True,BluePeak Retail|2024.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0022,BluePeak Retail,Retail,France,2024.0,Energy,Renewable Energy Consumption,,81612.2,MWh,Internal ESG System,SRC-2024-06,True,MWh,Energy,True,BluePeak Retail|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0023,BluePeak Retail,Retail,France,2024.0,Climate,Scope 1 Emissions,Emissions,-9512.4,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e,Climate,True,BluePeak Retail|2024.0|Scope 1 Emissions,False,False,False,True,False,False,False,True,2,Exception,Critical
R0024,BluePeak Retail,Retail,France,2024.0,Climate,Scope 2 Emissions,Emissions,13639.3,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e,Climate,True,BluePeak Retail|2024.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0025,BluePeak Retail,Retail,France,2024.0,Climate,Scope 3 Emissions,Emissions,243417.6,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e,Climate,True,BluePeak Retail|2024.0|Scope 3 Emissions,False,False,False,False,False,False,False,True,1,Exception,Medium
R0026,BluePeak Retail,Retail,France,2024.0,Waste,Waste Recycled,,7579.9,tonnes,Internal ESG System,SRC-2024-06,True,tonnes,Waste,True,BluePeak Retail|2024.0|Waste Recycled,False,False,False,False,False,False,False,False,0,Valid,None
R0027,BluePeak Retail,Retail,France,2024.0,Water,Water Consumption,,6653.0,ML,Internal ESG System,SRC-2024-06,True,ML,Water,True,BluePeak Retail|2024.0|Water Consumption,False,False,False,False,False,False,False,True,1,Exception,Medium
R0028,BluePeak Retail,Retail,France,2024.0,Workforce / ESG,Workforce Training Hours,,,hours,Internal ESG System,SRC-2024-06,True,hours,Workforce / ESG,True,BluePeak Retail|2024.0|Workforce Training Hours,False,True,False,False,False,False,False,False,1,Exception,High
R0029,BluePeak Retail,Retail,France,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,60.8,%,Internal ESG System,SRC-2025-06,True,%,Climate Strategy,True,BluePeak Retail|2025.0|Emissions Reduction Target,False,False,False,False,False,False,False,False,0,Valid,None
R0030,BluePeak Retail,Retail,France,2025.0,Workforce / ESG,Employee Turnover,,19.3,%,Internal ESG System,SRC-2025-06,True,%,Workforce / ESG,True,BluePeak Retail|2025.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0031,BluePeak Retail,Retail,France,2025.0,Climate Strategy,Net Zero Target,,Yes,Yes/No,Internal ESG System,SRC-2025-06,True,Yes/No,Climate Strategy,True,BluePeak Retail|2025.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0032,BluePeak Retail,Retail,France,2025.0,Waste,Waste Generated,,11530.6,tonnes,Internal ESG System,,True,tonnes,Waste,True,BluePeak Retail|2025.0|Waste Generated,False,False,False,False,False,False,True,False,1,Exception,Low
R0033,BluePeak Retail,Retail,France,2025.0,Waste,Waste Recycled,,23060.9,tonnes,Internal ESG System,SRC-2025-06,True,tonnes,Waste,True,BluePeak Retail|2025.0|Waste Recycled,False,False,False,False,False,False,False,True,1,Exception,Medium
R0034,BluePeak Retail,Retail,France,2025.0,Workforce / ESG,Workforce Training Hours,,10.6,hours,Internal ESG System,SRC-2025-06,True,hours,Workforce / ESG,True,BluePeak Retail|2025.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0035,Crescent Finance,Financial Services,Singapore,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,50.3,%,Internal ESG System,SRC-2024-10,True,%,Climate Strategy,True,Crescent Finance|2024.0|Emissions Reduction Target,False,False,False,False,False,False,False,False,0,Valid,None
R0036,Crescent Finance,Financial Services,Singapore,2024.0,Workforce / ESG,Employee Turnover,,20.3,%,Internal ESG System,SRC-2024-10,True,%,Workforce / ESG,True,Crescent Finance|2024.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0037,Crescent Finance,Financial Services,Singapore,2024.0,Energy,Energy Consumption,,571395.2,kWh,Internal ESG System,SRC-2024-10,True,MWh,Energy,True,Crescent Finance|2024.0|Energy Consumption,False,False,True,False,False,False,False,False,1,Exception,Medium
R0038,Crescent Finance,Financial Services,Singapore,2024.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2024-10,True,Yes/No,Climate Strategy,True,Crescent Finance|2024.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0039,Crescent Finance,Financial Services,Singapore,2024.0,Energy,Renewable Energy Consumption,,174486.0,MWh,Internal ESG System,SRC-2024-10,True,MWh,Energy,True,Crescent Finance|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0040,Crescent Finance,Financial Services,Singapore,2024.0,Climate,Scope 1 Emissions,Emissions,8747.3,tCO2e,Internal ESG System,SRC-2024-10,True,tCO2e,Climate,True,Crescent Finance|2024.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0041,Crescent Finance,Financial Services,Singapore,2024.0,Waste,Waste Generated,,6705.5,tonnes,Internal ESG System,SRC-2024-10,True,tonnes,Waste,True,Crescent Finance|2024.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0042,Crescent Finance,Financial Services,Singapore,2024.0,Water,Water Consumption,,1377.5,ML,Internal ESG System,SRC-2024-10,True,ML,Water,True,Crescent Finance|2024.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0043,Crescent Finance,Financial Services,Singapore,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,54.3,%,Internal ESG System,SRC-2025-10,True,%,Climate Strategy,True,Crescent Finance|2025.0|Emissions Reduction Target,False,False,False,False,False,False,False,False,0,Valid,None
R0044,Crescent Finance,Financial Services,Singapore,2025.0,Workforce / ESG,Employee Turnover,,15.1,%,Internal ESG System,SRC-2025-10,True,%,Workforce / ESG,True,Crescent Finance|2025.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0045,Crescent Finance,Financial Services,Singapore,2025.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2025-10,True,Yes/No,Climate Strategy,True,Crescent Finance|2025.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0046,Crescent Finance,Financial Services,Singapore,2025.0,Energy,Renewable Energy Consumption,,218220.8,MWh,Internal ESG System,SRC-2025-10,True,MWh,Energy,True,Crescent Finance|2025.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0047,Crescent Finance,Financial Services,Singapore,2025.0,Climate,Scope 1 Emissions,Emissions,30953.6,tCO2e,Internal ESG System,SRC-2025-10,True,tCO2e,Climate,True,Crescent Finance|2025.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0048,Crescent Finance,Financial Services,Singapore,2025.0,Climate,Scope 2 Emissions,Emissions,9651.7,tCO2e,Internal ESG System,SRC-2025-10,True,tCO2e,Climate,True,Crescent Finance|2025.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0049,Crescent Finance,Financial Services,Singapore,2025.0,Waste,Waste Generated,,8614.2,tonnes,Internal ESG System,SRC-2025-10,True,tonnes,Waste,True,Crescent Finance|2025.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0050,Crescent Finance,Financial Services,Singapore,2025.0,Waste,Waste Recycled,,7723.9,GJ,Internal ESG System,SRC-2025-10,True,tonnes,Waste,True,Crescent Finance|2025.0|Waste Recycled,False,False,True,False,False,False,False,False,1,Exception,Medium
R0051,Crescent Finance,Financial Services,Singapore,2025.0,Water,Water Consumption,,926.1,ML,Internal ESG System,SRC-2025-10,True,ML,Water,True,Crescent Finance|2025.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0052,Crescent Finance,Financial Services,Singapore,2025.0,Workforce / ESG,Workforce Training Hours,,14.2,hours,Internal ESG System,SRC-2025-10,True,hours,Workforce / ESG,True,Crescent Finance|2025.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0053,Everline Consumer Goods,Retail,Netherlands,2024.0,Energy,Energy Consumption,,425655.8,MWh,Internal ESG System,SRC-2024-12,True,MWh,Energy,True,Everline Consumer Goods|2024.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0054,Everline Consumer Goods,Retail,Netherlands,2024.0,Climate Strategy,Net Zero Target,,Yes,Yes/No,Internal ESG System,SRC-2024-12,True,Yes/No,Climate Strategy,True,Everline Consumer Goods|2024.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0055,Everline Consumer Goods,Retail,Netherlands,2024.0,Energy,Renewable Energy Consumption,,221903.6,MWh,Internal ESG System,SRC-2024-12,True,MWh,Energy,True,Everline Consumer Goods|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0056,Everline Consumer Goods,Retail,Netherlands,2024.0,Climate,Scope 2 Emissions,Emissions,11188.8,tCO2e,Internal ESG System,SRC-2024-12,True,tCO2e,Climate,True,Everline Consumer Goods|2024.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0057,Everline Consumer Goods,Retail,Netherlands,,Waste,Waste Generated,,7336.2,tonnes,Internal ESG System,SRC-2024-12,True,tonnes,Waste,True,Everline Consumer Goods|-1.0|Waste Generated,False,False,False,False,False,True,False,False,1,Exception,High
R0058,Everline Consumer Goods,Retail,Netherlands,2024.0,Waste,Waste Recycled,,13528.8,tonnes,Internal ESG System,SRC-2024-12,True,tonnes,Waste,True,Everline Consumer Goods|2024.0|Waste Recycled,False,False,False,False,False,False,False,False,0,Valid,None
R0059,Everline Consumer Goods,Retail,Netherlands,2024.0,Water,Water Consumption,,,ML,Internal ESG System,SRC-2024-12,True,ML,Water,True,Everline Consumer Goods|2024.0|Water Consumption,False,True,False,False,False,False,False,False,1,Exception,High
R0060,Everline Consumer Goods,Retail,Netherlands,2024.0,Workforce / ESG,Workforce Training Hours,,15.4,hours,Internal ESG System,SRC-2024-12,True,hours,Workforce / ESG,True,Everline Consumer Goods|2024.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0061,Everline Consumer Goods,Retail,Netherlands,2025.0,Energy,Energy Consumption,,229161.8,MWh,Internal ESG System,SRC-2025-12,True,MWh,Energy,True,Everline Consumer Goods|2025.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0062,Everline Consumer Goods,Retail,Netherlands,2025.0,Energy,Renewable Energy Consumption,,220634.4,MWh,Internal ESG System,SRC-2025-12,True,MWh,Energy,True,Everline Consumer Goods|2025.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0063,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 1 Emissions,Emissions,20485.9,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e,Climate,True,Everline Consumer Goods|2025.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0064,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 2 Emissions,Emissions,23341.0,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e,Climate,True,Everline Consumer Goods|2025.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0065,Everline Consumer Goods,Retail,Netherlands,2025.0,Climate,Scope 3 Emissions,Emissions,181986.5,tCO2e,Internal ESG System,SRC-2025-12,True,tCO2e,Climate,True,Everline Consumer Goods|2025.0|Scope 3 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0066,Everline Consumer Goods,Retail,Netherlands,2025.0,Waste,Waste Generated,,6894.9,tonnes,Internal ESG System,SRC-2025-12,True,tonnes,Waste,True,Everline Consumer Goods|2025.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0067,Everline Consumer Goods,Retail,Netherlands,2025.0,Waste,Waste Recycled,,5996.3,tonnes,Internal ESG System,SRC-2025-12,True,tonnes,Waste,True,Everline Consumer Goods|2025.0|Waste Recycled,False,False,False,False,False,False,False,False,0,Valid,None
R0068,Everline Consumer Goods,Retail,Netherlands,2025.0,Water,Water Consumption,,1263.4,ML,Internal ESG System,SRC-2025-12,True,ML,Water,True,Everline Consumer Goods|2025.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0069,GreenGrid Energy,Energy,Germany,2024.0,Workforce / ESG,Employee Turnover,,15.8,%,Internal ESG System,SRC-2024-03,True,%,Workforce / ESG,True,GreenGrid Energy|2024.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0070,GreenGrid Energy,Energy,Germany,2024.0,Climate Strategy,Net Zero Target,,Yes,Yes/No,Internal ESG System,SRC-2024-03,True,Yes/No,Climate Strategy,True,GreenGrid Energy|2024.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0071,GreenGrid Energy,Energy,Germany,2024.0,Energy,Renewable Energy Consumption,,118253.3,MWh,Internal ESG System,SRC-2024-03,True,MWh,Energy,True,GreenGrid Energy|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0072,GreenGrid Energy,Energy,Germany,2024.0,Climate,Scope 1 Emissions,Emissions,13786.1,tCO2e,Internal ESG System,SRC-2024-03,True,tCO2e,Climate,True,GreenGrid Energy|2024.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0073,GreenGrid Energy,Energy,Germany,2024.0,Climate,Scope 3 Emissions,Emissions,75916.7,tCO2e,Internal ESG System,SRC-2024-03,True,tCO2e,Climate,True,GreenGrid Energy|2024.0|Scope 3 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0074,GreenGrid Energy,Energy,Germany,2024.0,Waste,Waste Generated,,7653.9,tonnes,Internal ESG System,SRC-2024-03,True,tonnes,Waste,True,GreenGrid Energy|2024.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0075,GreenGrid Energy,Energy,Germany,2024.0,Waste,Waste Recycled,,6714.4,tonnes,Internal ESG System,SRC-2024-03,True,tonnes,Waste,True,GreenGrid Energy|2024.0|Waste Recycled,False,False,False,False,False,False,False,False,0,Valid,None
R0076,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,-54.9,%,Internal ESG System,SRC-2025-03,True,%,Climate Strategy,True,GreenGrid Energy|2025.0|Emissions Reduction Target,False,False,False,True,False,False,False,True,2,Exception,Critical
R0077,GreenGrid Energy,Energy,Germany,2025.0,Workforce / ESG,Employee Turnover,,17.3,%,Internal ESG System,SRC-2025-03,True,%,Workforce / ESG,True,GreenGrid Energy|2025.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0078,GreenGrid Energy,Energy,Germany,2025.0,Energy,Energy Consumption,,676153.0,MWh,Internal ESG System,SRC-2025-03,True,MWh,Energy,True,GreenGrid Energy|2025.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0079,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2025-03,True,Yes/No,Climate Strategy,True,GreenGrid Energy|2025.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0080,GreenGrid Energy,Energy,Germany,2025.0,Climate,Scope 2 Emissions,Emissions,24289.4,tCO2e,Internal ESG System,SRC-2025-03,True,tCO2e,Climate,True,GreenGrid Energy|2025.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0081,GreenGrid Energy,Energy,Germany,2025.0,Climate,Scope 3 Emissions,Emissions,131054.0,tCO2e,Internal ESG System,SRC-2025-03,True,tCO2e,Climate,True,GreenGrid Energy|2025.0|Scope 3 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0082,GreenGrid Energy,Energy,Germany,2025.0,Waste,Waste Generated,,6331.7,tonnes,Internal ESG System,SRC-2025-03,True,tonnes,Waste,True,GreenGrid Energy|2025.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0083,GreenGrid Energy,Energy,Germany,2025.0,Waste,Waste Recycled,,9477.9,tonnes,Internal ESG System,SRC-2025-03,True,tonnes,Waste,True,GreenGrid Energy|2025.0|Waste Recycled,False,False,False,False,False,False,False,False,0,Valid,None
R0084,GreenGrid Energy,Energy,Germany,2025.0,Workforce / ESG,Workforce Training Hours,,37.7,hours,Internal ESG System,SRC-2025-03,True,hours,Workforce / ESG,True,GreenGrid Energy|2025.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0085,Northstar Foods,Retail,United Kingdom,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,48.3,%,Internal ESG System,,True,%,Climate Strategy,True,Northstar Foods|2024.0|Emissions Reduction Target,False,False,False,False,False,False,True,False,1,Exception,Low
R0086,Northstar Foods,Retail,United Kingdom,2024.0,Workforce / ESG,Employee Turnover,,10.4,%,Internal ESG System,SRC-2024-02,True,%,Workforce / ESG,True,Northstar Foods|2024.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0087,Northstar Foods,Retail,United Kingdom,2024.0,Energy,Energy Consumption,,262549.1,MWh,Internal ESG System,SRC-2024-02,True,MWh,Energy,True,Northstar Foods|2024.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0088,Northstar Foods,Retail,United Kingdom,2024.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2024-02,True,Yes/No,Climate Strategy,True,Northstar Foods|2024.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0089,Northstar Foods,Retail,United Kingdom,2024.0,Energy,Renewable Energy Consumption,,352722.1,MWh,Internal ESG System,SRC-2024-02,True,MWh,Energy,True,Northstar Foods|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0090,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 1 Emissions,Emissions,25771.9,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e,Climate,True,Northstar Foods|2024.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0091,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 2 Emissions,Emissions,29227.9,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e,Climate,True,Northstar Foods|2024.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0092,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 3 Emissions,Emissions,,tCO2e,Internal ESG System,SRC-2024-02,True,tCO2e,Climate,True,Northstar Foods|2024.0|Scope 3 Emissions,False,True,False,False,False,False,False,False,1,Exception,High
R0093,Northstar Foods,Retail,United Kingdom,2024.0,Waste,Waste Generated,,14290.4,tonnes,Internal ESG System,SRC-2024-02,True,tonnes,Waste,True,Northstar Foods|2024.0|Waste Generated,False,False,False,False,False,False,False,False,0,Valid,None
R0094,Northstar Foods,Retail,United Kingdom,2024.0,Water,Water Consumption,,2343.4,ML,Internal ESG System,SRC-2024-02,True,ML,Water,True,Northstar Foods|2024.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0095,Northstar Foods,Retail,United Kingdom,2024.0,Workforce / ESG,Workforce Training Hours,,52.4,hours,Internal ESG System,SRC-2024-02,True,hours,Workforce / ESG,True,Northstar Foods|2024.0|Workforce Training Hours,False,False,False,False,False,False,False,False,0,Valid,None
R0096,Northstar Foods,Retail,United Kingdom,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,21.4,%,Internal ESG System,SRC-2025-02,True,%,Climate Strategy,True,Northstar Foods|2025.0|Emissions Reduction Target,False,False,False,False,False,False,False,False,0,Valid,None
R0097,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Employee Turnover,,12.5,%,Internal ESG System,SRC-2025-02,True,%,Workforce / ESG,True,Northstar Foods|2025.0|Employee Turnover,True,False,False,False,False,False,False,False,1,Exception,Medium
R0098,Northstar Foods,Retail,United Kingdom,2025.0,Energy,Energy Consumption,,463797.9,MWh,Internal ESG System,SRC-2025-02,True,MWh,Energy,True,Northstar Foods|2025.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0099,Northstar Foods,Retail,United Kingdom,2025.0,Climate Strategy,Net Zero Target,,No,Yes/No,Internal ESG System,SRC-2025-02,True,Yes/No,Climate Strategy,True,Northstar Foods|2025.0|Net Zero Target,False,False,False,False,False,False,False,False,0,Valid,None
R0100,Northstar Foods,Retail,United Kingdom,2025.0,Energy,Renewable Energy Consumption,,221075.8,MWh,Internal ESG System,SRC-2025-02,True,MWh,Energy,True,Northstar Foods|2025.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0101,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 1 Emissions,Emissions,16529.1,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e,Climate,True,Northstar Foods|2025.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0102,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 2 Emissions,Emissions,23456.2,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e,Climate,True,Northstar Foods|2025.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0103,Northstar Foods,Retail,United Kingdom,2025.0,Climate,Scope 3 Emissions,Emissions,74258.0,tCO2e,Internal ESG System,SRC-2025-02,True,tCO2e,Climate,True,Northstar Foods|2025.0|Scope 3 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
